seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
79,Lillie,Francis,49,Tazso Loop,Cigohijur,MA,44882,$4006.95,GREEN,05/19/1912
80,Corey,Cannon,48,Dollis Pike,Nulvuger,SC,90300,$997.54,WHITE,12/22/1927
81,Cecilia,Moreno,49,Lafi Lane,Ejuzumad,TX,62972,$1454.97,BLUE,01/07/1919
82,May,Parker,49,Urfu Heights,Awamacawu,VA,52976,$4800.10,GREEN,08/07/1952
83,Edna,Harrison,55,Nulem Center,Derzunuri,MS,06940,$2411.77,YELLOW,10/19/2066
84,Derrick,Jackson,41,Fejvur Trail,Tewzehpe,AZ,77881,$8586.43,BLUE,10/12/1947
85,Lois,Hodges,57,Muwvaz Heights,Fiunedes,MA,74547,$9162.14,BLUE,08/27/1929
86,Gary,McDonald,62,Ejete Place,Voluher,KS,59590,$2087.20,BLUE,08/13/2012
87,Fannie,Morris,65,Dopa Court,Focicve,WV,00293,$7172.70,BLUE,05/31/2033
88,Julian,Ramsey,50,Pewlem Highway,Nabure,WV,89859,$9939.43,RED,02/17/2027
89,Dustin,Baldwin,45,Vodu Drive,Jukdabsu,MA,83679,$8664.47,GREEN,05/20/2028
90,Angel,Cobb,40,Voup Lane,Popogto,TX,48758,$1702.12,RED,03/08/1963
91,Jared,Malone,60,Unki Street,Ritied,IL,62795,$4894.12,YELLOW,02/21/2025
92,Pauline,Jennings,59,Houj Pike,Unkunaf,RI,89094,$9466.80,RED,07/06/1998
93,Francisco,Little,58,Ugta Place,Kacuwu,MS,16810,$4143.33,WHITE,03/31/1959
94,Joe,Carpenter,21,Pegad Grove,Fokioh,ND,96788,$214.47,RED,02/16/2062
95,Angel,Fletcher,30,Ebafa Key,Cejokuawo,PA,14468,$10.79,GREEN,06/22/2046
96,Agnes,Richards,55,Hijjir Path,Jazkuomu,MO,17153,$3094.11,YELLOW,03/04/2017
97,Allen,Fields,43,Ilutam Place,Irbogwo,KY,68482,$5738.74,BLUE,10/22/2026
98,Lee,Bell,38,Ebagi Trail,Kasorja,UT,18152,$5322.23,BLUE,03/15/2033
99,Zachary,Munoz,43,Fupmus Parkway,Wefodved,GA,68584,$7874.90,BLUE,06/11/1907
100,Tony,Marsh,38,Putwit Heights,Fodkausi,LA,28160,$4105.52,GREEN,04/11/1977
